Handle,ObjType,Content,Layer,Extra
BCEBF7,AlignedDimension,"30.48 Road   761 0675",L-TITLEDB,Compass 5 000
BCF438,AlignedDimension,"Loyal  P/L R/W  831 1798",C-RW-T,Compass 5 000
BCF45C,AlignedDimension,"Loyal  P/L R/W  741 0653",C-RW-T,Compass 5 000
BCFDCB,AlignedDimension,"Nova  P/L R/W  911 1005",F-RW-T,Compass 5 000
BCFE06,MText,"Unnamed Creek",T-WATER-T,10.000000000000114
BD1659,AlignedDimension,"Nova  P/L R/W  1256 LK",F-RW-T,Compass 5 000
BD26E5,BlockReference,"GAS",C-WS-S,5.000000000000057
BD26E6,MText,"Loyal 1-12",C-WS-T,10.000000000000114
BD2FE9,AlignedDimension,"Loyal  Flow Line R/W",C-FLOWLINE-T,Compass 5 000
BD3017,AlignedDimension,"Loyal  A/R",C-AR,Compass 5 000
BD303C,AlignedDimension,"Loyal  A/R",C-AR,Compass 5 000
BD3887,AlignedDimension,"5.18 Road  761 0675",L-TITLEDB-T,Compass 5 000
BD38B3,AlignedDimension,"30.48 Road   761 0675",L-TITLEDB-T,Compass 5 000
BD3966,MText,"C. of T.",L-TITLEDB-T,10.000000000000114
BD3968,AlignedDimension,"Loyal  Water P/L R/W  731 057",C-RW-T,Compass 5 000
BD4B00,BlockReference,"GAS",C-WS-S,5.000000000000057
BD4B01,MText,"Loyal 7-12",C-WS-T,10.000000000000114
BD5B51,MText,"Loyal Plant Site Plan 1861 LK",C-RW,10.000000000000114
BD6BA1,AlignedDimension,"Loyal  Flow Line R/W",C-RW-T,Compass 5 000
BD6BE7,AlignedDimension,"Loyal  Flow Line R/W",C-RW-T,Compass 5 000
BD743A,AlignedDimension,"Loyal  Flow Line R/W",C-RW-T,Compass 5 000
BD7488,MText,"Loyal Battery Site",C-WS-T,10.000000000000114
BD994E,BlockReference,"L-SECLBL",L-SECLBL,1
BDA307,AlignedDimension,"PMC  P/L R/W  465 HN",AS-PHOTO,Compass 5 000
BDA308,AlignedDimension,"Loyal  P/L R/W  871 0141",C-RW-T,Compass 5 000
BDA309,AlignedDimension,"Loyal  P/L R/W  781 0653",C-RW-T,Compass 5 000
BDA30A,AlignedDimension,"Loyal  P/L R/W  151 1677",C-RW-T,Compass 5 000
BDA30E,AlignedDimension,"Loyal  A/R",C-RW-T,Compass 5 000
BDA30F,AlignedDimension,"Loyal  P/L R/W  1864 LK",C-RW-T,Compass 5 000
BDA310,AlignedDimension,"Loyal  P/L R/W  761 0835",C-RW-T,Compass 5 000
BDA311,AlignedDimension,"Nova  P/L R/W  373 LK",F-RW-T,Compass 5 000
BDA321,AlignedDimension,"Loyal  P/L R/W  171 0445",C-RW-T,Compass 5 000
BDA322,AlignedDimension,"Loyal  P/L R/W  151 1619",C-RW-T,Compass 5 000
BDE4EE,AlignedDimension,"Nova  P/L R/W  991 2720",F-RW-T,Compass 5 000
BDE52C,AlignedDimension,"Nova  P/L R/W  373 LK",F-VCE-T,Compass 5 000
BDED69,BlockReference,"GABD",F-WS-S,5.000000000000057
BDED7F,AlignedDimension,"Loyal  A/R",C-RW-T,Compass 5 000
BDED80,MText,"Loyal 9-12",C-RW-T,10.000000000000114
BDED81,MText,"Loyal 9-12 (Surface)",C-RW-T,10.000000000000114
BDEDA7,BlockReference,"GAS",C-WS-S,5.000000000000057
BDEDAA,BlockReference,"GAS",C-WS-S,5.000000000000057
BE051F,AlignedDimension,"Foothills  P/L R/W  791 1179",F-RW-T,Compass 5 000
BE0547,AlignedDimension,"Foothills  P/L R/W  791 1179",F-RW-T,Compass 5 000
BE0D9F,AlignedDimension,"Loyal  P/L R/W  725 JK",C-RW-T,Compass 5 000
BE169B,AlignedDimension,"Loyal  P/L R/W  725 JK",C-RW-T,Compass 5 000
BE1EB4,AlignedDimension,"Nova  P/L R/W  3318 JK",F-RW-T,Compass 5 000
BE4813,MText,"Nova 30.48 P/L R/W Plan 3318 JK",F-RW,10.000000000000114
BE57E4,AlignedDimension,"Loyal  P/L R/W  761 0835",C-RW-T,Compass 5 000
BE6907,AlignedDimension,"Loyal  P/L R/W  1864 LK",C-RW-T,Compass 5 000
BE7133,AlignedDimension,"Axiom  P/L R/W  861 1005",F-RW-T,Compass 5 000
BE7178,AlignedDimension,"Loyal  P/L R/W  761 0835",C-RW-T,Compass 5 000
BE71AF,BlockReference,"*U75",AS-OWNER,1
BE8A83,AlignedDimension,"Loyal  P/L R/W  1864 LK",C-RW,Compass 5 000
BE8AB2,AlignedDimension,"Loyal  P/L R/W  041 3599",C-RW-T,Compass 5 000
BE8ADF,AlignedDimension,"Loyal  P/L R/W  562 HM",C-RW-T,Compass 5 000
BE9BA8,BlockReference,"GABD",F-WS-S,5.000000000000057
BE9BA9,MText,"Exxonmobil 15-12 (Abd.)",F-WS-T,10.000000000000114
BEBDD3,BlockReference,"GABD",F-WS-S,5.000000000000057
BEBDD4,MText,"Shell 102/15-12 (Abd.)",F-WS-T,10.000000000000114
BEC5CE,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000114
BEC5CF,DBText,"(Paved)",T-TEXT,10.000000000000114
BEC5D0,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000114
BEC5D1,DBText,"(Paved)",T-TEXT,10.000000000000114
BECF01,DBText,"(High Grade Gravel)",T-TEXT,10.000000000000114
BECF02,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000114
BECF03,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000114
BECF04,DBText,"(Paved)",T-TEXT,10.000000000000114
BECF05,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000114
BECF06,DBText,"(Paved)",T-TEXT,10.000000000000114
BECF09,AlignedDimension,"Loyal  P/L R/W  961 0347",C-RW-T,Compass 5 000
BED71B,AlignedDimension,"Whitecap  P/L R/W  821 0428",F-RW-T,Compass 5 000
BEDF23,AlignedDimension,"Loyal  P/L R/W  741 0655",C-RW-T,Compass 5 000
