Handle,ObjType,Content,Layer,Extra
AF2DEA,BlockReference,"L-SECLBL",L-SECLBL,0.99963955
AF2DF0,BlockReference,"L-SECLBL",L-SECLBL,0.99963955
AF2DF8,BlockReference,"L-SECLBL",L-SECLBL,0.99963955
AF2F5F,DBText,"Theor. N.W.1/4 Sec. 5-43-8-W.5M.",C-SYMBOL,19.999999999999915
AF2F6D,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999917
AF2F6F,DBText,"Theor. N.E.1/4 Sec. 6-43-8-W.5M.",C-SYMBOL,19.999999999999915
AF2F76,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999917
AF2F78,DBText,"Theor. S.W.1/4 Sec. 8-43-8-W.5M.",C-SYMBOL,19.999999999999915
AF3896,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999917
AF454C,BlockReference,"*U86",AS-SURFACE IMPACT,1
AF455B,BlockReference,"*U87",AS-SURFACE IMPACT,1
AF636C,MText,"Obsidian  Cathodic Protection Site Plan 902 1355 PLA 890636",C-RW-T,9.999999999999936
AF637A,BlockReference,"LABEL_ROAD_THEORETIC",L-SECLBL,1
AF637B,BlockReference,"LABEL_ROAD_THEORETIC",L-SECLBL,1
AF6CFB,MText,"Obsidian 12-5 (Surface) MSL 4631",C-RW,9.999999999999936
AF774C,AlignedDimension,"Obsidian  A/R  4631",C-AR-T,Compass 5 000
AF774D,AlignedDimension,"Obsidian  A/R  5069",C-AR-T,Compass 5 000
AF774E,AlignedDimension,"Obsidian  P/L R/W  111705",C-RW-T,Compass 5 000
AF774F,AlignedDimension,"Obsidian  A/R  4712",C-RW-T,Compass 5 000
AF7751,AlignedDimension,"Obsidian  A/R  240095",C-AR-T,Compass 5 000
AF7752,MText,"Obsidian 4-8 (Surface) MSL 4547 (Expired)",C-RW-T,9.99645009999994
AF7753,AlignedDimension,"Obsidian  Flowline R/W  2558",C-FLOWLINE-T,Compass 5 000
AF7754,AlignedDimension,"Obsidian  Flowline R/W  2558",C-FLOWLINE-T,Compass 5 000
AF7755,AlignedDimension,"Obsidian  Flowline R/W  2558",C-FLOWLINE-T,Compass 5 000
AF775D,BlockReference,"GABD",F-WS-S,4.999999999999971
AF7AF3,AlignedDimension,"Obsidian  P/L R/W  091494  Be Cancelled)",C-RW-T,Compass 5 000
AF8481,AlignedDimension,"Obsidian  P/L R/W  ______",C-RW-T,Compass 5 000
AF84A5,AlignedDimension,"Obsidian  P/L R/W  ______",C-RW-T,Compass 5 000
AF8741,AlignedDimension,"Fortis  Power Line R/W  100034",F-EZE-T,Compass 5 000
AF99ED,BlockReference,"GAS",C-WS-S,4.998197749999987
AFA5E7,AlignedDimension,"Obsidian  A/R  2896",C-AR-T,Compass 5 000
AFAF80,BlockReference,"*U86",AS-SURFACE IMPACT,1
AFB8EB,AlignedDimension,"Obsidian  P/L R/W  790379",C-RW-T,Compass 5 000
AFB917,AlignedDimension,"Obsidian  P/L R/W  111705",C-RW-T,Compass 5 000
AFB93E,AlignedDimension,"Obsidian  A/R  12845",C-AR-T,Compass 5 000
