Handle,ObjType,Content,Layer,Extra
AF6BF0,DBText,"RP",35,10.000000000000083
AF7A91,BlockReference,"L-SECLBL",L-SECLBL,0.999609
AF7A9C,BlockReference,"L-SECLBL",L-SECLBL,0.999609
AF7AA8,BlockReference,"L-SECLBL",L-SECLBL,0.999609
AF7AAE,BlockReference,"L-SECLBL",L-SECLBL,0.999609
AF7AB4,BlockReference,"L-SECLBL",L-SECLBL,0.999609
AF7ABA,AlignedDimension,"Gran Tierra  P/L R/W  092 3974  022647",F-RW-T,Compass 5 000
AF7ABB,AlignedDimension,"Gran Tierra  P/L R/W  970912",F-RW-T,Compass 5 000
AF7ABF,AlignedDimension,"Sinopec  P/L R/W  112 2294  030858",F-RW-T,Compass 5 000
AF7AC0,AlignedDimension,"Keyera  P/L R/W  052 3220  034287",F-RW-T,Compass 5 000
AF7AC2,AlignedDimension,"Obsidian  P/L R/W  780102",C-RW-T,Compass 5 000
AF7AC8,AlignedDimension,"Obsidian  P/L R/W  882 0444  870408",C-RW-T,Compass 5 000
AF7AC9,AlignedDimension,"Sinopec  P/L R/W  102 4278  065275",F-RW-T,Compass 5 000
AF8AC5,AlignedDimension,"Obsidian  P/L R/W  034069",C-RW-T,Compass 5 000
AF8AF6,AlignedDimension,"Baytex  P/L R/W  043805",F-RW-T,Compass 5 000
AF8CBE,AlignedDimension,"Gran Tierra  P/L R/W  982 5833  971556",F-RW-T,Compass 5 000
AF8D18,AlignedDimension,"Gran Tierra  P/L R/W  982 5833  971556",F-RW-T,Compass 5 000
AF8F0E,AlignedDimension,"Baytex  P/L R/W  043805",F-RW-T,Compass 5 000
AF8FA9,AlignedDimension,"Sinopec  P/L R/W  080364",F-RW-T,Compass 5 000
AFAE61,AlignedDimension,"Obsidian  P/L R/W  852 0955  850196",C-RW-T,Compass 5 000
AFB020,AlignedDimension,"Obsidian  P/L R/W  665",C-RW-T,Compass 5 000
AFB07B,AlignedDimension,"Obsidian  P/L R/W  665",C-RW-T,Compass 5 000
AFB09F,AlignedDimension,"Obsidian  P/L R/W  665",C-RW-T,Compass 5 000
AFB13E,AlignedDimension,"Obsidian  P/L R/W  665",C-RW-T,Compass 5 000
AFB716,AlignedDimension,"Westbrick  P/L R/W  092 1766  062644",F-RW-T,Compass 5 000
AFB767,AlignedDimension,"Westbrick  P/L R/W  092 1766  062644",F-RW-T,Compass 5 000
AFB7AC,AlignedDimension,"Baytex  P/L R/W  043805",F-RW-T,Compass 5 000
AFBA19,AlignedDimension,"Gran Tierra  P/L R/W  971257",F-RW-T,Compass 5 000
AFBC48,AlignedDimension,"Obsidian  P/L R/W  872 0835  850197",C-RW-T,Compass 5 000
AFBE3B,AlignedDimension,"Obsidian  P/L R/W  872 0835  850197",C-RW-T,Compass 5 000
AFBFBB,AlignedDimension,"Gran Tierra  P/L R/W  970912",F-RW-T,Compass 5 000
AFC185,AlignedDimension,"Gran Tierra  P/L R/W  970912",F-RW-T,Compass 5 000
AFC483,AlignedDimension,"Obsidian  P/L R/W  094 0879  033152",C-RW-T,Compass 5 000
AFC6B3,AlignedDimension,"Gran Tierra  P/L R/W  092 4019  031105",F-RW-T,Compass 5 000
AFD110,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD111,MText,"Obsidian 16-13 (Surface) ROE 4170",C-WS-T,10.00000000000008
AFD112,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD11A,MText,"Obsidian 10-13 (Surface) ROE 5783",C-WS-T,10.00000000000008
AFD11B,BlockReference,"GABD",F-WS-S,5.00000000000004
AFD123,MText,"102/6-13 (Abd.)",F-WS-T,10.00000000000008
AFD12B,BlockReference,"GABD",C-WS-S,5.00000000000004
AFD133,MText,"6-13 (Abd.)",C-WS-T,10.00000000000008
AFD2C2,BlockReference,"GAS",F-WS-S,5.00000000000004
AFD2CA,MText,"Westbrick 7-13 (Surface) MSL 041642",F-WS-T,10.00000000000008
AFD2CB,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD2D4,MText,"Obsidian 8-13 (Surface) ROE 4169",C-WS-T,10.00000000000008
AFD2D5,BlockReference,"GABD",C-WS-S,5.00000000000004
AFD2DD,MText,"8-13 (Abd.)",C-WS-T,10.00000000000008
AFD2DE,BlockReference,"GABD",C-WS-S,5.00000000000004
AFD2E6,MText,"4-13 (Abd.)",C-WS-T,10.00000000000008
AFD475,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD47D,MText,"Obsidian 2-13 (Surface) ROE 5782",C-WS-T,10.00000000000008
AFD486,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD487,MText,"Obsidian 4-18 (Surface) ROE 7564",C-WS-T,10.00000000000008
AFD488,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD489,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD48A,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD48B,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD493,MText,"Obsidian 6-18 (Surface)ROE 4126",C-WS-T,10.00000000000008
AFD49E,BlockReference,"GABD",F-WS-S,5.00000000000004
AFD49F,BlockReference,"GAS",F-WS-S,5.00000000000004
AFD4AF,MText,"Vermilion 6-18 (Surface) MSL 971468",F-WS-T,10.00000000000008
AFD4B0,BlockReference,"GAS",C-WS-S,5.00000000000004
AFD646,MText,"Obsidian 12-18 (Surface) MSL 571",C-WS-T,10.00000000000008
AFD647,BlockReference,"GABD",C-WS-S,5.00000000000004
AFD649,BlockReference,"GAS",F-WS-S,5.00000000000004
AFD652,MText,"14-18 (Abd.)",C-WS-T,10.00000000000008
AFD653,MText,"Sinopec 14-18 (Surface) MSL 062213",F-WS-T,10.00000000000008
AFE173,BlockReference,"GAS",C-WS-S,5.00000000000004
AFE17B,MText,"Obsidian 12-7",C-WS-T,10.00000000000008
AFE17C,BlockReference,"GAS",C-WS-S,5.00000000000004
AFE184,MText,"Obsidian 14-7",C-WS-T,10.00000000000008
AFE185,BlockReference,"GAS",C-WS-S,5.00000000000004
AFE18D,MText,"Obsidian 16-12",C-WS-T,10.00000000000008
AFEAE1,BlockReference,"GAS",C-WS-S,5.000000000000039
AFEAE9,MText,"Obsidian 6-19 (Surface) MSL 850694",C-WS,10.00000000000008
AFEAEA,BlockReference,"GAS",C-WS-S,5.000000000000039
AFEAF2,MText,"Obsidian 6-19 (Surface) ROE 2405",C-WS,10.00000000000008
AFEAF3,BlockReference,"GAS",C-WS-S,5.000000000000039
AFEAF4,BlockReference,"GAS",C-WS-S,5.000000000000039
AFEAF5,BlockReference,"GAS",C-WS-S,5.000000000000039
AFEC9C,BlockReference,"GAS",F-WS-S,5.000000000000039
AFECAA,MText,"Sinopec 5-19 (Surface) MSL 071554",F-WS-T,10.00000000000008
AFECAB,BlockReference,"GABD",F-WS-S,5.000000000000039
AFECBC,MText,"Obsidian 16-24 (Surface) ROE 2403",C-WS,10.00000000000008
AFECBD,BlockReference,"GAS",C-WS-S,5.000000000000039
AFECC5,MText,"Obsidian 1-24 (Surface) MSL 033570",C-WS-T,10.00000000000008
AFF347,MText,"Obsidian 13-19 (Surface) MSL 034138",C-WS-T,10.00000000000008
AFF348,BlockReference,"GAS",C-WS-S,5.000000000000039
AFF350,MText,"Obsidian 14-19 (Surface) ROE 2794",C-WS-T,10.00000000000008
AFF4EB,BlockReference,"GAS",C-WS-S,5.000000000000039
AFF4ED,MText,"Obsidian 16-24 (Surface) ROE 2800",C-WS-T,10.00000000000008
AFF4EE,BlockReference,"GAS",C-WS-S,5.000000000000039
AFF4EF,BlockReference,"GAS",C-WS-S,5.000000000000039
AFF4F0,BlockReference,"GAS",C-WS-S,5.000000000000039
AFFD4A,BlockReference,"GAS",C-WS-S,4.998044999999999
AFFEE1,BlockReference,"GAS",C-WS-S,4.998044999999999
B00081,DBText,"N.W.1/4 Sec. 19-48-9-W.5M.",C-SYMBOL,19.992179999999998
B00091,DBText,"Government Road Allowance",L-ROAD-T,9.996089999999999
B0029F,AlignedDimension,"Altalink  Power Line R/W  902 0123  880650",F-EZE-T,Compass 5 000
B002DB,AlignedDimension,"Altalink  Vegetation Control R/W  880691",F-EZE-T,Compass 5 000
B004E5,AlignedDimension,"Pembina  P/L R/W  1880 KS  2752",F-EZE-T,Compass 5 000
B00517,AlignedDimension,"Obsidian  P/L R/W  882 1929  870681",C-RW-T,Compass 5 000
